movieYear,genres,Movie_Count,Average_Critic_Score
1927,Action,1,92.0
1930,Action,1,98.0
1932,Action,2,99.0
1933,Action,2,98.5
1940,Action,1,96.0
1943,Action,1,92.0
1946,Action,1,100.0
1947,Action,1,78.0
1953,Action,2,94.5
1954,Action,1,94.0
1956,Action,2,92.0
1959,Action,1,85.0
1960,Action,3,75.0
1961,Action,3,95.0
1962,Action,2,90.0
1963,Action,3,87.0
1964,Action,3,95.66666666666667
1965,Action,1,85.0
1966,Action,5,81.2
1967,Action,4,70.5
1968,Action,2,92.0
1969,Action,2,74.0
1970,Action,2,56.5
1971,Action,9,80.44444444444444
1972,Action,3,55.666666666666664
1973,Action,6,62.166666666666664
1974,Action,6,74.83333333333333
1975,Action,5,72.2
1976,Action,5,68.6
1977,Action,6,69.16666666666667
1978,Action,1,94.0
1979,Action,3,63.0
1980,Action,9,76.22222222222223
1981,Action,9,76.88888888888889
1982,Action,7,69.57142857142857
1983,Action,6,66.66666666666667
1984,Action,12,73.66666666666667
1985,Action,9,55.888888888888886
1986,Action,18,53.62421577250073
1987,Action,11,72.45454545454545
1988,Action,10,68.4
1989,Action,12,62.416666666666664
1990,Action,10,66.3
1991,Action,10,65.6
1992,Action,11,64.18181818181819
1993,Action,14,67.64285714285714
1994,Action,13,58.23076923076923
1995,Action,18,53.72222222222222
1996,Action,17,49.294117647058826
1997,Action,22,50.95454545454545
1998,Action,26,43.92307692307692
1999,Action,21,47.76190476190476
2000,Action,29,52.724137931034484
2001,Action,30,46.86666666666667
2002,Action,41,47.48780487804878
2003,Action,46,46.82608695652174
2004,Action,38,45.81578947368421
2005,Action,31,40.58064516129032
2006,Action,38,53.39473684210526
2007,Action,42,43.86275914059555
2008,Action,76,47.92415636717122
2009,Action,46,42.874693128369856
2010,Action,62,50.225806451612904
2011,Action,57,56.6140350877193
2012,Action,57,50.944125809143365
2013,Action,73,52.464100731104274
2014,Action,77,51.74638659493541
2015,Action,72,55.178879907925165
2016,Action,138,52.32502245597175
2017,Action,117,58.3295790652918
2018,Action,105,57.67892322791617
2019,Action,90,61.23962399992114
2020,Action,69,59.38271863131284
2021,Action,97,58.333516713202464
2022,Action,107,58.22103913397282
2023,Action,129,55.13396534556151
2024,Action,66,56.88033500079348
