movieYear,genres,Movie_Count,Average_Critic_Score
1902,Adventure,1,100.0
1925,Adventure,1,100.0
1927,Adventure,1,92.0
1932,Adventure,1,100.0
1933,Adventure,1,97.0
1938,Adventure,1,100.0
1939,Adventure,2,99.0
1940,Adventure,1,100.0
1942,Adventure,1,100.0
1943,Adventure,1,92.0
1945,Adventure,1,94.0
1946,Adventure,1,100.0
1948,Adventure,1,100.0
1951,Adventure,1,84.0
1952,Adventure,1,96.0
1953,Adventure,1,78.0
1954,Adventure,2,85.5
1956,Adventure,4,90.75
1957,Adventure,3,88.66666666666667
1958,Adventure,1,17.0
1959,Adventure,3,60.666666666666664
1960,Adventure,4,85.25
1961,Adventure,1,92.0
1962,Adventure,4,73.0589709762533
1963,Adventure,7,83.57142857142857
1964,Adventure,2,95.5
1965,Adventure,1,85.0
1966,Adventure,2,85.0
1967,Adventure,4,67.5
1968,Adventure,4,80.75
1969,Adventure,3,84.33333333333333
1970,Adventure,6,62.333333333333336
1971,Adventure,2,77.5
1972,Adventure,6,83.66666666666667
1973,Adventure,3,69.66666666666667
1974,Adventure,3,70.33333333333333
1975,Adventure,4,90.75
1976,Adventure,1,96.0
1977,Adventure,8,68.25
1978,Adventure,2,61.5
1979,Adventure,7,67.85714285714286
1980,Adventure,6,70.16666666666667
1981,Adventure,8,76.75
1982,Adventure,9,79.55555555555556
1983,Adventure,6,74.83333333333333
1984,Adventure,10,66.7
1985,Adventure,16,57.8125
1986,Adventure,13,67.3076923076923
1987,Adventure,7,56.142857142857146
1988,Adventure,6,45.166666666666664
1989,Adventure,16,65.625
1990,Adventure,11,67.0
1991,Adventure,8,59.5
1992,Adventure,8,55.5
1993,Adventure,10,57.6
1994,Adventure,9,62.333333333333336
1995,Adventure,13,55.07692307692308
1996,Adventure,15,57.13333333333333
1997,Adventure,16,54.75
1998,Adventure,22,52.95454545454545
1999,Adventure,15,53.93333333333333
2000,Adventure,25,54.64
2001,Adventure,19,50.578947368421055
2002,Adventure,27,56.111111111111114
2003,Adventure,30,51.3
2004,Adventure,31,47.74193548387097
2005,Adventure,31,51.806451612903224
2006,Adventure,30,49.43333333333333
2007,Adventure,34,47.411764705882355
2008,Adventure,48,52.17158091468777
2009,Adventure,41,46.27979921487869
2010,Adventure,41,48.78048780487805
2011,Adventure,40,56.35589709762532
2012,Adventure,35,59.4
2013,Adventure,40,56.88679419525066
2014,Adventure,55,58.075849121010414
2015,Adventure,54,63.65251636861135
2016,Adventure,95,58.99610886570888
2017,Adventure,62,62.80623988349588
2018,Adventure,64,60.53493568601583
2019,Adventure,60,65.18726473175022
2020,Adventure,38,58.865246141331895
2021,Adventure,52,66.75330195491486
2022,Adventure,57,63.459152660624085
2023,Adventure,66,66.37598744122987
2024,Adventure,25,65.32943535620053
