movieYear,genres,Movie_Count,Average_Critic_Score
1940,Animation,1,95.0
1941,Animation,1,95.0
1942,Animation,1,91.0
1954,Animation,1,69.0
1955,Animation,1,93.0
1956,Animation,1,72.0
1958,Animation,2,95.5
1959,Animation,1,90.0
1963,Animation,1,66.0
1964,Animation,1,40.0
1970,Animation,1,64.0
1971,Animation,2,79.5
1972,Animation,1,64.0
1977,Animation,3,66.0
1978,Animation,2,86.5
1981,Animation,2,70.5
1982,Animation,3,82.66666666666667
1984,Animation,1,83.17170165557262
1985,Animation,1,90.0
1986,Animation,2,69.5
1988,Animation,4,76.25
1989,Animation,3,76.0
1990,Animation,3,88.33333333333333
1991,Animation,1,57.0
1992,Animation,6,47.833333333333336
1993,Animation,5,64.4
1994,Animation,5,50.2
1995,Animation,5,65.6
1996,Animation,4,69.25
1997,Animation,5,79.0
1998,Animation,7,78.42857142857143
1999,Animation,7,76.0
2000,Animation,9,61.77777777777778
2001,Animation,9,62.111111111111114
2002,Animation,12,60.666666666666664
2003,Animation,10,63.4
2004,Animation,12,62.76430847129772
2005,Animation,9,66.88888888888889
2006,Animation,19,55.578947368421055
2007,Animation,11,65.72727272727273
2008,Animation,11,63.27272727272727
2009,Animation,16,59.65448548812665
2010,Animation,17,58.8235294117647
2011,Animation,18,57.290882439167405
2012,Animation,12,76.83333333333333
2013,Animation,17,59.259269738857995
2014,Animation,30,62.60786279683377
2015,Animation,22,67.92761752548118
2016,Animation,43,72.25550866922661
2017,Animation,36,66.96231859626664
2018,Animation,28,75.48497454343422
2019,Animation,27,80.85185185185185
2020,Animation,30,76.63289575922481
2021,Animation,37,72.89653247717764
2022,Animation,36,79.36111111111111
2023,Animation,38,78.36469758625955
2024,Animation,24,70.3202836092621
