movieYear,genres,Movie_Count,Average_Critic_Score
1921,Comedy,1,100.0
1923,Comedy,1,97.0
1925,Comedy,1,100.0
1927,Comedy,1,92.0
1931,Comedy,1,95.0
1932,Comedy,1,100.0
1933,Comedy,2,95.5
1934,Comedy,2,98.0
1935,Comedy,1,100.0
1936,Comedy,1,98.0
1937,Comedy,1,91.0
1938,Comedy,3,96.33333333333333
1939,Comedy,4,96.0
1940,Comedy,5,95.2
1941,Comedy,2,91.08585082778632
1942,Comedy,4,90.58585082778632
1943,Comedy,1,97.0
1944,Comedy,2,93.0
1946,Comedy,1,97.0
1947,Comedy,1,100.0
1948,Comedy,1,90.0
1949,Comedy,2,95.5
1950,Comedy,3,91.0
1951,Comedy,2,89.0
1952,Comedy,3,97.0
1953,Comedy,3,89.05723388519088
1954,Comedy,3,77.66666666666667
1955,Comedy,3,87.66666666666667
1956,Comedy,3,89.66666666666667
1957,Comedy,2,92.0
1958,Comedy,3,79.33333333333333
1959,Comedy,1,95.0
1960,Comedy,2,94.0
1961,Comedy,2,89.0
1962,Comedy,2,88.58585082778632
1963,Comedy,5,71.6
1964,Comedy,10,75.72358839050132
1965,Comedy,2,61.6179419525066
1966,Comedy,3,71.07862796833773
1967,Comedy,3,90.0
1968,Comedy,7,85.85714285714286
1969,Comedy,3,59.0
1970,Comedy,9,73.77777777777777
1971,Comedy,6,73.5
1972,Comedy,5,74.44717678100264
1973,Comedy,8,92.625
1974,Comedy,6,86.33333333333333
1975,Comedy,9,80.66666666666667
1976,Comedy,6,76.66666666666667
1977,Comedy,6,88.16666666666667
1978,Comedy,6,47.666666666666664
1979,Comedy,14,75.57142857142857
1980,Comedy,11,72.0
1981,Comedy,6,74.8726473175022
1982,Comedy,14,61.01684885035809
1983,Comedy,12,81.66666666666667
1984,Comedy,19,74.64061587660909
1985,Comedy,24,69.125
1986,Comedy,19,73.26315789473684
1987,Comedy,22,70.77272727272727
1988,Comedy,25,70.0
1989,Comedy,26,69.07692307692308
1990,Comedy,17,70.88235294117646
1991,Comedy,19,65.26315789473684
1992,Comedy,32,58.84375
1993,Comedy,30,60.43333333333333
1994,Comedy,33,53.03030303030303
1995,Comedy,34,53.76470588235294
1996,Comedy,37,57.351351351351354
1997,Comedy,30,54.666666666666664
1998,Comedy,50,56.54
1999,Comedy,46,56.84782608695652
2000,Comedy,40,52.275
2001,Comedy,50,49.96
2002,Comedy,53,46.264150943396224
2003,Comedy,65,50.4180261793165
2004,Comedy,62,44.9543822847673
2005,Comedy,66,47.68539218037898
2006,Comedy,67,47.46268656716418
2007,Comedy,66,45.62478611977292
2008,Comedy,83,49.055172135134434
2009,Comedy,70,46.32776479457218
2010,Comedy,75,47.32629023746702
2011,Comedy,86,51.619021905872245
2012,Comedy,89,51.3423794135958
2013,Comedy,79,47.39087789076724
2014,Comedy,101,51.167757778416366
2015,Comedy,113,56.954684543102765
2016,Comedy,163,58.568597529254774
2017,Comedy,130,58.29133803089885
2018,Comedy,126,66.47421419739469
2019,Comedy,113,63.384021755197615
2020,Comedy,108,67.7357281535812
2021,Comedy,103,69.40930654788657
2022,Comedy,158,67.32528138188184
2023,Comedy,189,65.42023634005696
2024,Comedy,104,64.84936761129629
