movieYear,genres,Movie_Count,Average_Critic_Score
1921,Crime,1,96.0
1929,Crime,1,93.0
1932,Crime,1,98.0
1933,Crime,1,67.0
1934,Crime,1,98.0
1938,Crime,1,100.0
1939,Crime,1,100.0
1941,Crime,1,99.0
1944,Crime,4,89.5
1945,Crime,3,96.0
1946,Crime,3,98.66666666666667
1947,Crime,3,88.66666666666667
1948,Crime,3,91.66666666666667
1949,Crime,1,86.0
1950,Crime,6,87.52861694259543
1951,Crime,2,90.0
1953,Crime,1,94.0
1954,Crime,3,72.66666666666667
1955,Crime,2,92.0
1956,Crime,3,96.33333333333333
1957,Crime,1,100.0
1959,Crime,3,98.33333333333333
1960,Crime,2,70.0
1961,Crime,1,92.0
1962,Crime,1,92.0
1963,Crime,2,89.5
1964,Crime,2,91.5
1966,Crime,3,87.0
1967,Crime,6,92.5
1968,Crime,3,85.66666666666667
1969,Crime,2,91.0
1970,Crime,3,66.33333333333333
1971,Crime,9,80.77777777777777
1972,Crime,5,65.24717678100264
1973,Crime,8,91.375
1974,Crime,9,89.0
1975,Crime,5,78.6
1976,Crime,7,82.71428571428571
1977,Crime,1,95.0
1978,Crime,3,79.0
1979,Crime,3,80.0
1980,Crime,4,65.0
1981,Crime,5,85.6
1982,Crime,2,46.5
1983,Crime,5,73.0
1984,Crime,7,77.28571428571429
1985,Crime,6,75.83333333333333
1986,Crime,10,71.32358839050133
1987,Crime,11,74.0909090909091
1988,Crime,10,81.2
1989,Crime,8,82.0
1990,Crime,15,74.66666666666667
1991,Crime,10,75.8
1992,Crime,14,78.64285714285714
1993,Crime,12,71.75
1994,Crime,14,60.285714285714285
1995,Crime,19,62.10526315789474
1996,Crime,13,66.3076923076923
1997,Crime,14,59.57142857142857
1998,Crime,22,52.77272727272727
1999,Crime,21,55.95238095238095
2000,Crime,18,56.333333333333336
2001,Crime,26,56.73076923076923
2002,Crime,27,54.148148148148145
2003,Crime,33,59.21212121212121
2004,Crime,22,51.5
2005,Crime,27,58.48148148148148
2006,Crime,30,54.833333333333336
2007,Crime,30,55.14119613016711
2008,Crime,54,56.2962962962963
2009,Crime,28,53.107142857142854
2010,Crime,36,56.50655233069481
2011,Crime,34,60.61764705882353
2012,Crime,32,59.712974097536616
2013,Crime,42,53.19047619047619
2014,Crime,55,60.26312305109139
2015,Crime,42,58.24779965620442
2016,Crime,66,56.1461131737212
2017,Crime,76,60.88676918864908
2018,Crime,71,59.647702433475274
2019,Crime,56,61.55027091287807
2020,Crime,43,66.54286984444524
2021,Crime,66,63.3947129549422
2022,Crime,62,61.097597661712655
2023,Crime,68,64.59844888958506
2024,Crime,38,65.06956498593682
