movieYear,genres,Movie_Count,Average_Critic_Score
1964,Documentary,1,91.0
1966,Documentary,1,100.0
1970,Documentary,1,81.0
1977,Documentary,1,92.0
1978,Documentary,2,94.5
1982,Documentary,1,89.0
1984,Documentary,2,94.0
1988,Documentary,1,100.0
1989,Documentary,1,95.0
1991,Documentary,2,89.5
1992,Documentary,1,81.0
1994,Documentary,1,98.0
1995,Documentary,1,83.0
1997,Documentary,1,100.0
1999,Documentary,2,56.5
2002,Documentary,2,72.0
2003,Documentary,3,87.33333333333333
2004,Documentary,4,88.25
2005,Documentary,4,87.75
2006,Documentary,1,88.0
2007,Documentary,2,88.0
2008,Documentary,6,75.33333333333333
2009,Documentary,3,80.33333333333333
2010,Documentary,3,96.66666666666667
2011,Documentary,4,95.75
2012,Documentary,6,92.5
2013,Documentary,7,86.0
2014,Documentary,2,97.0
2015,Documentary,8,83.625
2016,Documentary,16,86.19823135347329
2017,Documentary,19,90.43346757394806
2018,Documentary,16,86.01073135347329
2019,Documentary,22,93.69742742323388
2020,Documentary,30,88.67452946350043
2021,Documentary,27,93.5925925925926
2022,Documentary,32,89.64510842079997
2023,Documentary,55,83.27989924249691
2024,Documentary,61,87.29817679288118
