movieYear,genres,Movie_Count,Average_Critic_Score
1915,Drama,1,91.0
1921,Drama,2,98.0
1922,Drama,1,97.0
1925,Drama,1,100.0
1926,Drama,1,100.0
1927,Drama,1,97.0
1928,Drama,1,98.0
1929,Drama,1,93.0
1930,Drama,1,98.0
1931,Drama,2,94.5
1932,Drama,5,82.64717678100263
1933,Drama,2,82.0
1936,Drama,1,98.0
1937,Drama,3,90.05723388519088
1938,Drama,1,100.0
1939,Drama,4,96.0
1940,Drama,2,99.5
1941,Drama,2,91.08585082778632
1942,Drama,2,87.08585082778632
1943,Drama,5,92.6
1944,Drama,5,93.6
1945,Drama,7,94.57142857142857
1946,Drama,8,91.375
1947,Drama,4,99.0
1948,Drama,4,97.75
1949,Drama,2,96.5
1950,Drama,7,91.0
1951,Drama,4,89.29292541389316
1952,Drama,2,94.5
1953,Drama,9,90.33333333333333
1954,Drama,9,89.44444444444444
1955,Drama,6,85.0
1956,Drama,11,90.27272727272727
1957,Drama,14,90.65970599321523
1958,Drama,3,99.0
1959,Drama,8,88.875
1960,Drama,10,78.8
1961,Drama,9,87.11111111111111
1962,Drama,16,84.40047409753662
1963,Drama,5,86.0
1964,Drama,10,93.8
1965,Drama,5,63.0
1966,Drama,9,83.55555555555556
1967,Drama,15,82.93333333333334
1968,Drama,11,92.72727272727273
1969,Drama,7,86.85714285714286
1970,Drama,14,76.0
1971,Drama,15,80.4
1972,Drama,13,82.53846153846153
1973,Drama,13,87.6923076923077
1974,Drama,15,79.94905892700088
1975,Drama,12,84.33333333333333
1976,Drama,15,74.46666666666667
1977,Drama,12,73.66666666666667
1978,Drama,12,74.41666666666667
1979,Drama,15,83.8
1980,Drama,14,82.07142857142857
1981,Drama,16,74.5625
1982,Drama,20,70.21179419525066
1983,Drama,20,77.5
1984,Drama,20,78.8
1985,Drama,13,68.38461538461539
1986,Drama,26,75.23984168865435
1987,Drama,21,81.85714285714286
1988,Drama,20,74.3
1989,Drama,31,77.51612903225806
1990,Drama,28,75.21428571428571
1991,Drama,29,73.75862068965517
1992,Drama,34,76.17647058823529
1993,Drama,46,77.71739130434783
1994,Drama,44,69.63636363636364
1995,Drama,35,72.28571428571429
1996,Drama,51,70.17983728736417
1997,Drama,35,69.82857142857142
1998,Drama,65,63.92307692307692
1999,Drama,54,63.68518518518518
2000,Drama,60,58.5
2001,Drama,58,62.658132787165044
2002,Drama,72,65.34722222222223
2003,Drama,73,64.30372194048729
2004,Drama,72,60.349606967438504
2005,Drama,77,62.184881609156015
2006,Drama,84,58.45238095238095
2007,Drama,92,62.85295399793507
2008,Drama,108,57.14047871903308
2009,Drama,80,65.6625
2010,Drama,90,62.01111111111111
2011,Drama,109,63.403669724770644
2012,Drama,118,57.45315057466124
2013,Drama,117,64.78566402160088
2014,Drama,154,62.38303164140743
2015,Drama,162,64.37646217763422
2016,Drama,268,67.61102591178603
2017,Drama,250,67.6120992023187
2018,Drama,221,71.24209039702924
2019,Drama,200,67.17808607509544
2020,Drama,197,70.33702770729609
2021,Drama,204,72.41807323005489
2022,Drama,206,66.86336455788398
2023,Drama,211,69.42584407073034
2024,Drama,108,71.56338315791302
