movieYear,genres,Movie_Count,Average_Critic_Score
1939,Family,1,98.0
1940,Family,2,97.5
1941,Family,1,95.0
1942,Family,1,91.0
1943,Family,1,94.0
1944,Family,1,100.0
1946,Family,1,94.0
1947,Family,2,96.0
1950,Family,1,98.0
1951,Family,2,83.5
1953,Family,1,78.0
1954,Family,1,91.0
1955,Family,1,93.0
1956,Family,1,72.0
1957,Family,2,98.0
1958,Family,1,100.0
1959,Family,1,90.0
1960,Family,1,82.0
1961,Family,1,90.0
1962,Family,1,94.0
1963,Family,3,81.33333333333333
1964,Family,2,68.5
1965,Family,1,83.0
1966,Family,1,33.23588390501319
1967,Family,1,88.0
1968,Family,3,83.33333333333333
1970,Family,1,64.0
1971,Family,2,79.5
1974,Family,1,86.0
1976,Family,2,88.0
1977,Family,2,67.5
1979,Family,2,89.5
1980,Family,2,68.5
1981,Family,2,83.0
1982,Family,6,66.5
1983,Family,1,89.0
1984,Family,4,85.29292541389316
1985,Family,3,69.0
1986,Family,9,65.77777777777777
1987,Family,2,70.5
1988,Family,4,55.75
1989,Family,9,64.22222222222223
1990,Family,5,85.0
1991,Family,10,47.9
1992,Family,12,42.333333333333336
1993,Family,17,56.35294117647059
1994,Family,14,36.57142857142857
1995,Family,14,55.92857142857143
1996,Family,13,44.69230769230769
1997,Family,9,43.666666666666664
1998,Family,17,65.76470588235294
1999,Family,9,60.44444444444444
2000,Family,15,55.8
2001,Family,9,67.77777777777777
2002,Family,16,59.1875
2003,Family,20,45.7
2004,Family,19,46.061668508188035
2005,Family,24,51.541666666666664
2006,Family,30,47.46666666666667
2007,Family,25,48.12
2008,Family,23,59.30434782608695
2009,Family,24,54.30149516270888
2010,Family,27,45.78651421870419
2011,Family,30,50.20786279683377
2012,Family,19,51.21052631578947
2013,Family,20,50.82358839050132
2014,Family,35,57.806739540143234
2015,Family,29,58.73819260553744
2016,Family,49,63.8077405554318
2017,Family,33,62.741568721515954
2018,Family,28,68.04184648769902
2019,Family,31,71.2732828325815
2020,Family,36,62.46231859626664
2021,Family,31,63.908764569534604
2022,Family,31,65.62398075197243
2023,Family,41,70.48016601517782
2024,Family,26,69.49289119696815
