movieYear,genres,Movie_Count,Average_Critic_Score
1922,Fantasy,1,97.0
1933,Fantasy,1,100.0
1939,Fantasy,1,98.0
1940,Fantasy,2,97.5
1945,Fantasy,1,94.0
1946,Fantasy,2,95.5
1947,Fantasy,2,96.0
1950,Fantasy,2,92.5
1951,Fantasy,2,83.5
1953,Fantasy,2,89.0
1956,Fantasy,2,92.5
1957,Fantasy,1,96.0
1958,Fantasy,1,17.0
1959,Fantasy,1,90.0
1960,Fantasy,1,94.0
1963,Fantasy,3,69.0
1964,Fantasy,4,69.75
1966,Fantasy,1,81.0
1967,Fantasy,1,88.0
1968,Fantasy,3,78.33333333333333
1970,Fantasy,2,50.0
1971,Fantasy,1,67.0
1974,Fantasy,2,82.5
1975,Fantasy,2,88.0
1977,Fantasy,4,63.5
1978,Fantasy,3,70.66666666666667
1980,Fantasy,1,30.0
1981,Fantasy,6,71.5
1982,Fantasy,6,80.16666666666667
1983,Fantasy,2,67.5
1984,Fantasy,5,76.2
1985,Fantasy,6,57.0
1986,Fantasy,4,77.25
1987,Fantasy,10,57.3
1988,Fantasy,6,67.5
1989,Fantasy,9,70.22222222222223
1990,Fantasy,9,74.11111111111111
1991,Fantasy,6,64.33333333333333
1992,Fantasy,8,52.5
1993,Fantasy,8,69.25
1994,Fantasy,15,59.4
1995,Fantasy,10,63.4
1996,Fantasy,12,48.25
1997,Fantasy,7,51.142857142857146
1998,Fantasy,15,52.6
1999,Fantasy,13,49.53846153846154
2000,Fantasy,15,45.93333333333333
2001,Fantasy,13,53.84615384615385
2002,Fantasy,16,48.75
2003,Fantasy,14,50.142857142857146
2004,Fantasy,13,58.92307692307692
2005,Fantasy,20,47.65
2006,Fantasy,20,43.3
2007,Fantasy,22,42.14708563204606
2008,Fantasy,25,56.08
2009,Fantasy,22,47.63636363636363
2010,Fantasy,29,44.93103448275862
2011,Fantasy,22,50.36363636363637
2012,Fantasy,21,59.142857142857146
2013,Fantasy,24,46.84048756898219
2014,Fantasy,29,61.28399599672459
2015,Fantasy,22,61.28053189343512
2016,Fantasy,44,58.51998530387755
2017,Fantasy,46,62.59208443271768
2018,Fantasy,55,64.74833771695121
2019,Fantasy,36,75.19444444444444
2020,Fantasy,46,63.87842577305621
2021,Fantasy,36,74.94921393487702
2022,Fantasy,50,68.06815171121171
2023,Fantasy,57,67.57570475651178
2024,Fantasy,25,63.256303422423436
