movieYear,genres,Movie_Count,Average_Critic_Score
1926,History,1,100.0
1928,History,1,98.0
1937,History,1,97.0
1938,History,1,100.0
1953,History,1,96.0
1954,History,1,100.0
1956,History,1,84.0
1957,History,4,92.75
1959,History,1,85.0
1960,History,2,95.0
1962,History,3,65.41196130167107
1963,History,1,56.0
1964,History,3,96.33333333333333
1966,History,1,89.0
1967,History,1,99.0
1968,History,2,92.5
1969,History,1,67.0
1970,History,4,83.0
1971,History,1,70.0
1972,History,3,86.33333333333333
1975,History,2,90.5
1976,History,2,67.5
1977,History,2,65.0
1980,History,3,93.66666666666667
1981,History,5,89.0
1982,History,1,89.0
1983,History,1,96.0
1984,History,3,85.33333333333333
1985,History,2,36.0
1986,History,1,64.0
1987,History,3,82.0
1988,History,1,87.0
1989,History,4,93.0
1990,History,1,98.0
1991,History,2,70.0
1992,History,3,71.66666666666667
1993,History,5,79.2
1994,History,5,91.4
1995,History,3,81.66666666666667
1996,History,6,61.5
1997,History,3,67.33333333333333
1998,History,4,87.5
1999,History,2,32.5
2000,History,3,59.41196130167106
2001,History,2,39.0
2002,History,9,71.22222222222223
2003,History,9,61.333333333333336
2004,History,7,55.57142857142857
2005,History,9,64.33333333333333
2006,History,12,67.58333333333333
2007,History,5,53.6
2008,History,10,65.1
2009,History,11,71.54545454545455
2010,History,3,64.0
2011,History,13,68.6923076923077
2012,History,6,65.83333333333333
2013,History,11,68.0909090909091
2014,History,11,67.37924560505206
2015,History,18,67.27777777777777
2016,History,23,72.79753927439762
2017,History,28,74.47041791627045
2018,History,27,70.4074074074074
2019,History,31,69.8785769001617
2020,History,24,74.0
2021,History,32,80.16161567673664
2022,History,29,73.78673003866109
2023,History,35,76.65714285714286
2024,History,12,69.75
