movieYear,genres,Movie_Count,Average_Critic_Score
1921,Horror,1,96.0
1922,Horror,1,97.0
1931,Horror,2,94.0
1932,Horror,3,97.66666666666667
1933,Horror,1,95.0
1935,Horror,1,98.0
1942,Horror,1,92.0
1943,Horror,2,90.0
1945,Horror,1,94.0
1946,Horror,1,97.0
1948,Horror,1,90.0
1951,Horror,1,83.17170165557262
1953,Horror,3,88.33333333333333
1954,Horror,2,86.5
1955,Horror,1,95.0
1956,Horror,1,98.0
1957,Horror,3,66.41196130167107
1958,Horror,3,84.66666666666667
1959,Horror,2,39.5
1960,Horror,3,91.66666666666667
1961,Horror,1,95.0
1962,Horror,4,92.5
1963,Horror,2,93.0
1964,Horror,3,84.0
1966,Horror,2,56.1179419525066
1968,Horror,3,94.33333333333333
1970,Horror,1,85.0
1971,Horror,1,92.0
1972,Horror,2,78.0
1973,Horror,2,89.0
1974,Horror,4,82.5
1975,Horror,7,87.28571428571429
1976,Horror,3,85.0
1977,Horror,5,66.8
1978,Horror,6,68.83333333333333
1979,Horror,8,66.875
1980,Horror,7,77.85714285714286
1981,Horror,9,66.22222222222223
1982,Horror,10,70.2
1983,Horror,8,63.375
1984,Horror,7,57.857142857142854
1985,Horror,9,68.22222222222223
1986,Horror,7,55.714285714285715
1987,Horror,11,65.18181818181819
1988,Horror,10,60.5
1989,Horror,9,44.666666666666664
1990,Horror,9,57.666666666666664
1991,Horror,4,36.3089709762533
1992,Horror,7,55.285714285714285
1993,Horror,3,50.0
1994,Horror,6,49.833333333333336
1995,Horror,7,39.857142857142854
1996,Horror,7,55.57142857142857
1997,Horror,7,47.714285714285715
1998,Horror,14,39.214285714285715
1999,Horror,12,43.25
2000,Horror,8,41.625
2001,Horror,12,57.416666666666664
2002,Horror,14,42.214285714285715
2003,Horror,16,41.1875
2004,Horror,15,45.415725593667545
2005,Horror,18,32.166666666666664
2006,Horror,15,36.2
2007,Horror,27,42.407407407407405
2008,Horror,30,51.86666666666667
2009,Horror,20,56.05
2010,Horror,19,59.26315789473684
2011,Horror,39,48.47363507205196
2012,Horror,37,49.03340226770306
2013,Horror,41,52.97266715538078
2014,Horror,50,54.03286938931198
2015,Horror,50,54.84815171121171
2016,Horror,111,59.06680453540611
2017,Horror,101,61.67257830095839
2018,Horror,98,58.91765722853875
2019,Horror,80,69.35804336831998
2020,Horror,90,66.430085019056
2021,Horror,101,69.48148853705291
2022,Horror,111,65.61198566123241
2023,Horror,134,67.28216240124932
2024,Horror,63,65.99685783964945
