movieYear,genres,Movie_Count,Average_Critic_Score
1935,Music,1,100.0
1949,Music,1,95.0
1950,Music,1,86.0
1951,Music,1,95.0
1953,Music,1,83.17170165557262
1955,Music,2,60.1179419525066
1956,Music,1,97.0
1957,Music,1,88.0
1958,Music,1,77.0
1962,Music,1,94.0
1963,Music,2,91.5
1964,Music,2,96.5
1965,Music,2,58.1179419525066
1968,Music,3,83.66666666666667
1969,Music,2,44.0
1970,Music,2,78.5
1971,Music,2,77.5
1972,Music,1,92.0
1974,Music,1,82.0
1975,Music,2,80.0
1976,Music,2,58.0
1977,Music,1,82.0
1978,Music,3,54.0
1979,Music,4,86.5
1980,Music,3,79.66666666666667
1981,Music,2,74.5
1982,Music,2,66.0
1983,Music,3,81.33333333333333
1984,Music,4,89.25
1985,Music,1,61.0
1987,Music,2,77.5
1988,Music,1,94.0
1989,Music,1,97.0
1990,Music,1,71.0
1991,Music,3,75.0
1992,Music,5,45.4
1993,Music,3,58.333333333333336
1994,Music,1,40.0
1995,Music,1,31.0
1996,Music,5,78.8
1997,Music,2,43.0
1998,Music,4,26.75
1999,Music,3,51.666666666666664
2000,Music,6,68.5
2001,Music,4,68.5
2002,Music,5,62.8
2003,Music,2,31.5
2004,Music,6,53.833333333333336
2005,Music,4,48.5
2006,Music,5,46.4
2007,Music,9,59.888888888888886
2008,Music,9,55.352411295063625
2009,Music,3,34.333333333333336
2010,Music,5,67.4
2011,Music,3,48.333333333333336
2012,Music,5,63.4
2013,Music,3,63.666666666666664
2014,Music,5,60.64717678100264
2015,Music,11,59.81818181818182
2016,Music,19,77.3157894736842
2017,Music,7,65.14285714285714
2018,Music,15,65.41144677703818
2019,Music,11,64.0909090909091
2020,Music,12,80.58333333333333
2021,Music,11,76.36363636363636
2022,Music,16,77.9375
2023,Music,19,81.32482640292487
2024,Music,22,77.93542214618903
