movieYear,genres,Movie_Count,Average_Critic_Score
1932,Mystery,1,98.0
1934,Mystery,1,98.0
1935,Mystery,2,92.5
1938,Mystery,1,98.0
1940,Mystery,1,96.0
1941,Mystery,3,98.33333333333333
1943,Mystery,2,90.0
1944,Mystery,3,88.0
1945,Mystery,1,100.0
1946,Mystery,2,98.0
1947,Mystery,1,73.0
1948,Mystery,1,85.0
1949,Mystery,1,99.0
1950,Mystery,2,97.0
1951,Mystery,1,83.17170165557262
1953,Mystery,2,96.5
1954,Mystery,1,98.0
1955,Mystery,3,91.66666666666667
1957,Mystery,1,100.0
1958,Mystery,2,96.0
1959,Mystery,3,88.33333333333333
1960,Mystery,1,97.0
1961,Mystery,1,95.0
1962,Mystery,1,87.0
1963,Mystery,3,91.0
1964,Mystery,3,85.66666666666667
1965,Mystery,1,92.0
1966,Mystery,1,87.0
1967,Mystery,1,96.0
1968,Mystery,1,92.0
1970,Mystery,3,70.33333333333333
1971,Mystery,2,92.5
1972,Mystery,1,93.0
1973,Mystery,3,96.33333333333333
1974,Mystery,6,87.33333333333333
1975,Mystery,3,82.66666666666667
1976,Mystery,4,78.25
1977,Mystery,2,68.5
1978,Mystery,2,76.0
1979,Mystery,3,56.333333333333336
1980,Mystery,5,63.4
1981,Mystery,4,67.0
1982,Mystery,3,84.0
1983,Mystery,4,80.75
1984,Mystery,4,67.0
1985,Mystery,3,79.0
1986,Mystery,2,86.0
1987,Mystery,2,85.5
1988,Mystery,1,77.0
1989,Mystery,1,89.0
1990,Mystery,6,65.66666666666667
1991,Mystery,3,66.07862796833773
1992,Mystery,5,82.0
1993,Mystery,5,79.0
1994,Mystery,4,75.75
1995,Mystery,4,77.5
1996,Mystery,6,68.16666666666667
1997,Mystery,11,67.36363636363636
1998,Mystery,9,52.77777777777778
1999,Mystery,20,52.4
2000,Mystery,9,49.77777777777778
2001,Mystery,18,57.833333333333336
2002,Mystery,13,45.15384615384615
2003,Mystery,14,55.07142857142857
2004,Mystery,13,43.46153846153846
2005,Mystery,17,55.95505199441254
2006,Mystery,13,34.23076923076923
2007,Mystery,19,48.94736842105263
2008,Mystery,25,49.4
2009,Mystery,24,58.333333333333336
2010,Mystery,27,64.86058829277827
2011,Mystery,26,51.61538461538461
2012,Mystery,16,58.875
2013,Mystery,17,51.65715892091604
2014,Mystery,28,64.12169948430663
2015,Mystery,23,60.47826086956522
2016,Mystery,45,59.23127967912413
2017,Mystery,63,61.61216126972861
2018,Mystery,52,60.73381873908302
2019,Mystery,34,64.19539616075292
2020,Mystery,42,68.02380952380952
2021,Mystery,55,63.04782440440624
2022,Mystery,75,59.67982497035659
2023,Mystery,69,61.28542789118528
2024,Mystery,32,61.6797184022416
