movieYear,genres,Movie_Count,Average_Critic_Score
1923,Romance,1,97.0
1929,Romance,1,93.0
1931,Romance,1,95.0
1932,Romance,3,73.41196130167107
1934,Romance,1,98.0
1935,Romance,1,100.0
1936,Romance,1,98.0
1937,Romance,3,88.05723388519088
1938,Romance,4,97.25
1939,Romance,3,93.66666666666667
1940,Romance,4,96.0
1941,Romance,2,98.0
1942,Romance,2,91.58585082778632
1943,Romance,2,98.0
1944,Romance,1,100.0
1945,Romance,3,92.33333333333333
1946,Romance,7,91.0
1947,Romance,1,96.0
1948,Romance,1,99.0
1949,Romance,1,96.0
1950,Romance,2,97.0
1951,Romance,2,88.5
1952,Romance,3,95.66666666666667
1953,Romance,4,88.79292541389316
1954,Romance,4,78.25
1955,Romance,9,79.80398710055702
1956,Romance,3,86.66666666666667
1957,Romance,1,88.0
1958,Romance,5,81.4
1959,Romance,4,87.5
1960,Romance,3,83.33333333333333
1961,Romance,8,89.625
1962,Romance,4,79.5589709762533
1963,Romance,2,75.0
1964,Romance,5,77.2
1965,Romance,3,62.0
1966,Romance,2,87.5
1967,Romance,6,72.16666666666667
1968,Romance,4,89.25
1969,Romance,2,66.5
1970,Romance,1,63.0
1971,Romance,5,84.4
1972,Romance,5,76.44717678100264
1973,Romance,2,80.5
1974,Romance,5,66.24717678100265
1975,Romance,1,87.0
1976,Romance,3,48.666666666666664
1977,Romance,3,93.0
1978,Romance,4,71.5
1979,Romance,3,78.66666666666667
1980,Romance,3,37.333333333333336
1981,Romance,8,65.02948548812665
1982,Romance,11,72.47598944591029
1983,Romance,6,70.5
1984,Romance,12,66.5
1985,Romance,6,59.5
1986,Romance,12,71.58333333333333
1987,Romance,12,75.83333333333333
1988,Romance,14,71.71428571428571
1989,Romance,6,86.16666666666667
1990,Romance,9,68.0
1991,Romance,8,73.0
1992,Romance,14,74.78571428571429
1993,Romance,13,71.15384615384616
1994,Romance,20,68.05
1995,Romance,17,68.76470588235294
1996,Romance,21,70.6272238883606
1997,Romance,15,69.13333333333334
1998,Romance,27,60.18518518518518
1999,Romance,22,55.45454545454545
2000,Romance,22,44.86363636363637
2001,Romance,36,49.699213934877015
2002,Romance,32,58.8125
2003,Romance,29,55.41379310344828
2004,Romance,36,48.861111111111114
2005,Romance,45,55.044444444444444
2006,Romance,33,45.81818181818182
2007,Romance,34,51.05882352941177
2008,Romance,49,50.21239970531808
2009,Romance,44,54.59090909090909
2010,Romance,48,44.5674142480211
2011,Romance,38,51.421052631578945
2012,Romance,51,54.34258368254954
2013,Romance,31,57.20115754532301
2014,Romance,52,54.98076923076923
2015,Romance,48,52.85908091468777
2016,Romance,78,63.88362423752953
2017,Romance,58,64.86590959796133
2018,Romance,57,61.15051381080979
2019,Romance,53,60.133038774078955
2020,Romance,59,63.57604869113126
2021,Romance,47,68.92356565022523
2022,Romance,71,60.59075402281765
2023,Romance,82,60.361185549013264
2024,Romance,35,57.42329060346205
