movieYear,genres,Movie_Count,Average_Critic_Score
1902,Science Fiction,1,100.0
1927,Science Fiction,1,97.0
1931,Science Fiction,1,94.0
1933,Science Fiction,1,95.0
1935,Science Fiction,1,98.0
1951,Science Fiction,1,95.0
1952,Science Fiction,1,100.0
1953,Science Fiction,3,87.0
1954,Science Fiction,4,89.5
1956,Science Fiction,3,91.33333333333333
1957,Science Fiction,1,66.0
1958,Science Fiction,4,67.75
1959,Science Fiction,1,0.0
1960,Science Fiction,1,76.0
1963,Science Fiction,1,52.0
1964,Science Fiction,2,85.5
1965,Science Fiction,1,92.0
1966,Science Fiction,1,79.0
1967,Science Fiction,1,81.0
1968,Science Fiction,3,84.33333333333333
1970,Science Fiction,1,37.0
1971,Science Fiction,4,79.0
1972,Science Fiction,3,72.0
1973,Science Fiction,4,72.75
1974,Science Fiction,1,86.0
1975,Science Fiction,6,76.66666666666667
1976,Science Fiction,2,68.5
1977,Science Fiction,3,81.66666666666667
1978,Science Fiction,5,68.6
1979,Science Fiction,8,71.25
1980,Science Fiction,6,77.83333333333333
1981,Science Fiction,5,73.4
1982,Science Fiction,6,80.33333333333333
1983,Science Fiction,5,76.6
1984,Science Fiction,13,67.07692307692308
1985,Science Fiction,9,80.66666666666667
1986,Science Fiction,10,60.5
1987,Science Fiction,6,67.16666666666667
1988,Science Fiction,5,59.0
1989,Science Fiction,8,58.375
1990,Science Fiction,5,75.2
1991,Science Fiction,5,73.4
1992,Science Fiction,5,37.6
1993,Science Fiction,3,60.666666666666664
1994,Science Fiction,6,35.0
1995,Science Fiction,7,55.714285714285715
1996,Science Fiction,8,52.125
1997,Science Fiction,18,59.388888888888886
1998,Science Fiction,12,35.333333333333336
1999,Science Fiction,15,54.266666666666666
2000,Science Fiction,14,43.285714285714285
2001,Science Fiction,14,50.07142857142857
2002,Science Fiction,13,52.15384615384615
2003,Science Fiction,14,52.642857142857146
2004,Science Fiction,16,53.0
2005,Science Fiction,17,49.1764705882353
2006,Science Fiction,14,59.357142857142854
2007,Science Fiction,18,50.5
2008,Science Fiction,29,44.310344827586206
2009,Science Fiction,33,44.067754057727676
2010,Science Fiction,21,61.904761904761905
2011,Science Fiction,30,56.5
2012,Science Fiction,22,56.81818181818182
2013,Science Fiction,37,54.36874241798917
2014,Science Fiction,34,62.03634952661803
2015,Science Fiction,38,58.71052631578947
2016,Science Fiction,75,54.31278187449028
2017,Science Fiction,66,59.088108653351085
2018,Science Fiction,60,59.56358618535286
2019,Science Fiction,45,64.59207709923554
2020,Science Fiction,43,66.28705589095686
2021,Science Fiction,51,61.46696413963082
2022,Science Fiction,55,69.99663947493039
2023,Science Fiction,66,65.61658370442096
2024,Science Fiction,35,65.43800788822541
