movieYear,genres,Movie_Count,Average_Critic_Score
1932,TV Movie,1,98.0
1943,TV Movie,1,92.0
1962,TV Movie,1,96.0
1963,TV Movie,1,86.0
1972,TV Movie,1,91.0
1975,TV Movie,1,94.0
1977,TV Movie,1,57.0
1978,TV Movie,1,94.0
1984,TV Movie,1,50.0
1990,TV Movie,1,66.0
1992,TV Movie,1,28.0
1993,TV Movie,1,13.0
1995,TV Movie,1,87.0
1996,TV Movie,1,84.0
2001,TV Movie,2,52.0
2002,TV Movie,1,100.0
2005,TV Movie,2,78.0
2008,TV Movie,1,100.0
2009,TV Movie,1,33.23588390501319
2010,TV Movie,1,100.0
2011,TV Movie,2,55.5
2012,TV Movie,1,83.0
2013,TV Movie,1,83.17170165557262
2014,TV Movie,3,59.333333333333336
2015,TV Movie,3,74.66666666666667
2016,TV Movie,29,70.41704800630608
2017,TV Movie,10,62.32358839050132
2018,TV Movie,10,68.63302760878895
2019,TV Movie,6,68.36195027592878
2020,TV Movie,7,90.16738595079609
2021,TV Movie,3,79.39056721852421
2022,TV Movie,6,74.73459759343096
2023,TV Movie,4,57.79292541389316
2024,TV Movie,5,74.95019777434621
