movieYear,genres,Movie_Count,Average_Critic_Score
1921,Thriller,1,96.0
1933,Thriller,1,95.0
1935,Thriller,2,92.5
1938,Thriller,1,98.0
1939,Thriller,1,100.0
1940,Thriller,1,96.0
1941,Thriller,2,98.0
1942,Thriller,1,92.0
1943,Thriller,2,94.0
1944,Thriller,3,90.66666666666667
1945,Thriller,1,85.0
1946,Thriller,4,95.75
1947,Thriller,4,86.0
1948,Thriller,3,91.66666666666667
1949,Thriller,3,94.0
1950,Thriller,1,83.17170165557262
1951,Thriller,5,91.26868066222906
1952,Thriller,1,94.0
1953,Thriller,3,85.66666666666667
1954,Thriller,3,72.33333333333333
1955,Thriller,3,93.33333333333333
1956,Thriller,2,93.5
1957,Thriller,2,100.0
1958,Thriller,1,92.0
1959,Thriller,2,82.5
1960,Thriller,4,74.25
1961,Thriller,3,95.0
1962,Thriller,6,92.66666666666667
1963,Thriller,4,92.25
1964,Thriller,6,91.16666666666667
1965,Thriller,2,90.0
1966,Thriller,3,84.0
1967,Thriller,6,77.66666666666667
1968,Thriller,4,94.5
1969,Thriller,3,81.33333333333333
1970,Thriller,4,88.25
1971,Thriller,8,85.25
1972,Thriller,6,77.5
1973,Thriller,6,80.0
1974,Thriller,9,73.69287598944591
1975,Thriller,9,84.66666666666667
1976,Thriller,8,83.375
1977,Thriller,7,56.714285714285715
1978,Thriller,4,78.5
1979,Thriller,3,78.66666666666667
1980,Thriller,8,71.0
1981,Thriller,10,69.8
1982,Thriller,8,71.375
1983,Thriller,11,66.54545454545455
1984,Thriller,12,63.25
1985,Thriller,12,62.333333333333336
1986,Thriller,15,61.28239226033421
1987,Thriller,18,72.38888888888889
1988,Thriller,10,59.1
1989,Thriller,16,50.75
1990,Thriller,19,67.52631578947368
1991,Thriller,15,62.01572559366755
1992,Thriller,17,73.3529411764706
1993,Thriller,13,76.15384615384616
1994,Thriller,14,66.64285714285714
1995,Thriller,19,60.73684210526316
1996,Thriller,22,62.04545454545455
1997,Thriller,25,63.48
1998,Thriller,28,50.535714285714285
1999,Thriller,31,53.903225806451616
2000,Thriller,35,50.542857142857144
2001,Thriller,35,54.114285714285714
2002,Thriller,46,48.32608695652174
2003,Thriller,45,50.82222222222222
2004,Thriller,30,46.43333333333333
2005,Thriller,36,50.31210788625037
2006,Thriller,48,51.666666666666664
2007,Thriller,57,49.70175438596491
2008,Thriller,73,49.013698630136986
2009,Thriller,53,45.320754716981135
2010,Thriller,59,55.478574303474794
2011,Thriller,75,53.443145118733504
2012,Thriller,71,53.56409936656598
2013,Thriller,90,54.8783450558465
2014,Thriller,102,58.054698894276065
2015,Thriller,89,53.66012347046889
2016,Thriller,159,53.48675759960585
2017,Thriller,163,57.110235191409366
2018,Thriller,157,55.010024699760486
2019,Thriller,132,56.65456194096078
2020,Thriller,125,60.74114775572479
2021,Thriller,142,60.156100650012746
2022,Thriller,170,56.40716086663526
2023,Thriller,175,58.04953297168728
2024,Thriller,100,61.132398393919374
