movieYear,genres,Movie_Count,Average_Critic_Score
1926,War,1,100.0
1927,War,1,92.0
1930,War,1,98.0
1933,War,1,91.0
1937,War,1,97.0
1939,War,1,90.0
1940,War,1,92.0
1942,War,1,96.0
1943,War,3,92.33333333333333
1944,War,1,90.0
1945,War,1,94.0
1946,War,3,84.66666666666667
1953,War,2,79.0
1954,War,1,95.0
1957,War,3,91.66666666666667
1958,War,2,88.5
1960,War,2,79.5
1961,War,1,92.0
1962,War,4,73.35189639014645
1963,War,1,94.0
1964,War,4,95.0
1965,War,3,71.33333333333333
1966,War,1,85.0
1967,War,2,90.5
1969,War,1,67.0
1970,War,6,81.16666666666667
1973,War,1,93.0
1974,War,1,67.0
1975,War,1,87.0
1976,War,1,41.0
1977,War,2,65.0
1978,War,1,86.0
1979,War,3,52.0
1980,War,3,93.0
1981,War,3,85.66666666666667
1982,War,1,74.0
1984,War,3,70.0
1985,War,2,21.5
1986,War,4,65.5
1987,War,6,90.66666666666667
1988,War,1,41.0
1989,War,4,90.25
1990,War,1,98.0
1992,War,1,88.0
1993,War,2,78.5
1994,War,1,59.0
1995,War,2,74.5
1996,War,4,83.29292541389316
1998,War,2,87.0
1999,War,2,63.0
2000,War,6,60.87264731750219
2001,War,5,47.2
2002,War,6,69.33333333333333
2003,War,6,54.833333333333336
2004,War,6,49.833333333333336
2005,War,4,42.5
2006,War,3,68.0
2007,War,5,69.4
2008,War,9,52.0
2009,War,8,74.125
2010,War,4,62.0
2011,War,5,63.4
2012,War,3,36.666666666666664
2013,War,3,57.333333333333336
2014,War,9,69.79685573950808
2015,War,12,71.9363236587511
2016,War,24,68.5658036340066
2017,War,21,70.24627150740822
2018,War,14,72.42857142857143
2019,War,10,60.623588390501325
2020,War,9,63.333333333333336
2021,War,12,79.08333333333333
2022,War,12,67.79827393467987
2023,War,14,73.51684885035809
2024,War,7,80.62048618730647
