movieYear,genres,Movie_Count,Average_Critic_Score
1939,Western,2,98.0
1946,Western,1,100.0
1948,Western,2,100.0
1950,Western,2,90.0
1952,Western,1,94.0
1953,Western,1,97.0
1954,Western,2,86.08585082778632
1955,Western,2,93.5
1956,Western,3,91.66666666666667
1957,Western,5,93.4
1958,Western,3,94.39056721852421
1959,Western,2,89.58585082778632
1960,Western,2,74.5
1961,Western,1,61.0
1962,Western,3,90.33333333333333
1963,Western,1,57.0
1964,Western,2,79.0
1965,Western,1,90.0
1966,Western,1,90.0
1967,Western,3,95.0
1969,Western,5,81.4
1970,Western,2,64.5
1971,Western,1,85.0
1972,Western,3,85.33333333333333
1973,Western,4,67.25
1974,Western,2,61.1179419525066
1976,Western,3,83.66666666666667
1979,Western,1,54.0
1980,Western,1,70.0
1981,Western,1,57.0
1982,Western,1,100.0
1985,Western,2,85.5
1986,Western,1,45.0
1988,Western,1,43.0
1990,Western,2,59.0
1991,Western,2,73.0
1992,Western,1,96.0
1993,Western,3,71.33333333333333
1994,Western,4,44.5
1995,Western,1,58.0
1996,Western,1,54.0
1998,Western,1,5.0
1999,Western,1,16.0
2000,Western,2,56.0
2002,Western,1,69.0
2003,Western,3,67.66666666666667
2004,Western,2,37.5
2005,Western,1,28.0
2006,Western,2,68.5
2007,Western,2,67.0
2008,Western,6,76.1952836092621
2009,Western,1,40.0
2010,Western,4,69.04292541389316
2011,Western,5,64.8
2012,Western,3,82.66666666666667
2013,Western,4,42.0
2014,Western,5,63.6
2015,Western,7,79.42857142857143
2016,Western,13,65.16705397350559
2017,Western,9,62.111111111111114
2018,Western,10,81.3
2019,Western,6,79.83333333333333
2020,Western,10,81.61717016555727
2021,Western,11,66.24031540596354
2022,Western,7,48.03369770071617
2023,Western,10,56.34717678100263
2024,Western,1,33.23588390501319
